221018,Dan Stevens,44.083
1922,Catherine Zeta-Jones,44.077
39459,Hayley Atwell,44.02
2,Mark Hamill,43.946
5472,Colin Firth,43.877
35551,Julie Benz,43.797
20,Elizabeth Perkins,43.79
17288,Michael Fassbender,43.766
8784,Daniel Craig,43.645
2975,Laurence Fishburne,43.538
13242,Paul Giamatti,43.333
45379,Shannon Tweed,43.18
368,Reese Witherspoon,43.116
51329,Bradley Cooper,43.107
69597,Drew Barrymore,42.872
17140,Abigail Breslin,42.842
206,Jim Carrey,42.713
3036,John Cusack,42.681
26457,Matthew Lillard,42.675
20373,Arielle Kebbel,42.64
10431,Jennifer Jason Leigh,42.505
36662,Carey Mulligan,42.469
58754,Haley Bennett,42.312
5469,Ralph Fiennes,42.275
8329,Radha Mitchell,42.275
17346,Robin Tunney,42.231
65717,Jon Hamm,42.07
10860,Jessica Biel,42.055
6677,Kyle MacLachlan,42.032
2453,Mary Steenburgen,41.726
6905,Bruce Dern,41.722
2178,Forest Whitaker,41.489
25072,Oscar Isaac,41.446
16866,Jennifer Lopez,41.423
3087,Robert Duvall,41.26
15854,Ted Levine,41.25
1315036,Daisy Ridley,41.102
69122,Heather Graham,41.071
2039,Brendan Gleeson,41.048
12132,Michael Rooker,41.038
13014,Toby Jones,40.956
50398,Devon Sawa,40.929
11864,Ryan Phillippe,40.898
59254,Pablo Schreiber,40.815
46593,Emile Hirsch,40.794
1951,Elisabeth Shue,40.735
84497,Aaron Paul,40.732
4252,Tony Shalhoub,40.667
58058,Lochlyn Munro,40.602
60073,Brie Larson,40.579
10696,Famke Janssen,40.528
23532,Jason Bateman,40.502
7906,Jennifer Tilly,40.463
882,Liv Tyler,40.354
19492,Viola Davis,40.185
3900,Linus Roache,40.147
4512,James Woods,40.073
41421,Jennifer Morrison,39.901
886,William Fichtner,39.803
10127,Jon Voight,39.758
20584,Lucy Lawless,39.742
65002,Dana Delany,39.643
25541,Katherine Heigl,39.612
69899,Zachary Levi,39.607
9278,Jennifer Garner,39.48
1160,Michelle Pfeiffer,39.424
6941,Cameron Diaz,39.364
8289,Billy Crudup,39.331
2714,Lance Henriksen,39.238
6952,Charlie Sheen,39.231
2228,Sean Penn,39.22
22108,Skeet Ulrich,39.193
21657,Vera Farmiga,39.182
15091,Melanie Lynskey,39.181
7685,Raymond Burr,39.057
64856,Michael Jai White,39.05
17782,Colm Meaney,39.025
52,David Morse,38.969
4491,Jennifer Aniston,38.908
4960,Charles Bronson,38.893
13022,Tom Berenger,38.877
20982,Marton Csokas,38.797
11181,Kenneth Branagh,38.716
530,Carrie-Anne Moss,38.708
4513,Elizabeth McGovern,38.697
14888,Bruce McGill,38.601
2878,C. Thomas Howell,38.457
39389,Titus Welliver,38.363
50463,Malin Åkerman,38.341
783,Jonathan Banks,38.334
49971,Jennifer Ehle,38.178
6807,Sam Rockwell,38.175
125660,Andrew Scott,38.09
448,Hilary Swank,38.083
17039,Nick Offerman,37.924
1771,Giovanni Ribisi,37.858
2130,Cary Elwes,37.829
8534,Kathy Bates,37.787
17306,Zachary Quinto,37.713
8785,Ciarán Hinds,37.667
60898,Sebastian Stan,37.598
1372,Karl Urban,37.464
819,Edward Norton,37.436
514,Jack Nicholson,37.379
532,Joe Pantoliano,37.345
2478,Tommy Flanagan,37.331
16307,Maura Tierney,37.313
2283,Stanley Tucci,37.307
52480,Eddie Kaye Thomas,37.234
20374,Teresa Palmer,37.207
3085,James Caan,37.175
6197,Brian Dennehy,37.162
18364,George Segal,37.154
2882,Diane Lane,36.962
41087,Leslie Mann,36.844
21029,Billy Burke,36.822
59315,Olivia Wilde,36.78
15831,Frank Welker,36.7
821,Beverly D'Angelo,36.547
7486,Michael Wincott,36.494
13920,Mimi Rogers,36.365
5168,Gabriel Byrne,36.348
3051,Toni Collette,36.31
59192,Emmanuelle Chriqui,36.28
11661,Kate Hudson,36.244
7517,Kate Bosworth,36.24
10814,Wesley Snipes,36.192
